2025-04-22 19:17:19 -X1=-0.0524m, Y1=-0.0207m, Z1=0.2890m, A1=23.45 deg
2025-04-22 19:30:38 -X1=0.0470m, Y1=-0.0671m, Z1=0.2850m, A1=13.78 deg
2025-04-22 19:33:35 -X1=-0.0264m, Y1=-0.0304m, Z1=0.2880m, A1=21.37 deg
2025-04-22 19:34:43 -X1=-0.0271m, Y1=-0.0107m, Z1=0.2890m, A1=21.43 deg
2025-04-22 19:35:39 -X1=0.0105m, Y1=-0.0490m, Z1=0.2870m, A1=17.03 deg
2025-04-22 19:36:29 -X1=0.0071m, Y1=-0.0854m, Z1=0.2840m, A1=15.80 deg
2025-04-22 19:38:28 -X1=0.0054m, Y1=-0.0856m, Z1=0.2840m, A1=14.97 deg
2025-04-22 19:39:54 -X1=0.0101m, Y1=-0.0586m, Z1=0.2850m, A1=17.46 deg
2025-04-22 19:41:51 -X1=-0.0155m, Y1=0.0379m, Z1=0.2920m, A1=20.85 deg
2025-04-22 19:43:48 -X1=-0.0131m, Y1=-0.0611m, Z1=0.2850m, A1=20.24 deg
2025-04-22 19:44:43 -X1=-0.0125m, Y1=-0.0799m, Z1=0.2830m, A1=20.16 deg
2025-04-22 19:45:21 -X1=-0.0470m, Y1=-0.0312m, Z1=0.2880m, A1=24.22 deg
2025-04-22 19:45:36 -X1=-0.0810m, Y1=-0.0045m, Z1=0.2890m, A1=27.43 deg
2025-04-22 19:54:48 -X1=-0.0811m, Y1=-0.0044m, Z1=0.2890m, A1=27.35 deg
2025-04-22 20:04:54 -X1=-0.0818m, Y1=-0.0047m, Z1=0.2900m, A1=27.43 deg
2025-04-22 20:06:52 -X1=-0.0819m, Y1=-0.0050m, Z1=0.2890m, A1=27.45 deg
2025-04-22 20:08:11 -X1=-0.0818m, Y1=-0.0047m, Z1=0.2900m, A1=27.43 deg
2025-04-22 20:09:50 -X1=-0.0079m, Y1=-0.0430m, Z1=0.2870m, A1=20.30 deg
2025-04-22 20:32:19 -X1=-0.0077m, Y1=-0.0434m, Z1=0.2870m, A1=20.35 deg
2025-04-22 20:41:11 -X1=-0.0087m, Y1=0.0013m, Z1=0.2910m, A1=20.56 deg
2025-04-22 20:42:20 -X1=0.0441m, Y1=-0.0564m, Z1=0.2850m, A1=14.36 deg
2025-04-22 20:47:22 -X1=0.0070m, Y1=-0.0189m, Z1=0.2890m, A1=18.80 deg
2025-04-22 20:48:43 -X1=0.0069m, Y1=-0.0448m, Z1=0.2870m, A1=18.43 deg
2025-04-22 20:49:30 -X1=0.0043m, Y1=-0.0777m, Z1=0.2850m, A1=18.62 deg
2025-04-22 20:50:22 -X1=0.0054m, Y1=-0.0189m, Z1=0.2880m, A1=18.66 deg
